Main ID,Incident ID,Incident Type,,Region of Incident,Incident year,Reported Month,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Region of Origin,Cause of Death,Location of death,Information Source,Coordinates,Longitude ,Latitude ,UNSD Geographical Grouping,Article title,Source Quality,URL
2014.MMP00001,2014.MMP00001,Incident,,North America,2014,January,1,,1,,,1,,Central America,Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-110.366453 31.650259),-110.366453,31.650259,Northern America,,5,http://humaneborders.info/
2014.MMP00002,2014.MMP00002,Incident,,North America,2014,January,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.73756 31.59713),-111.73756,31.59713,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2014,5,
2014.MMP00003,2014.MMP00003,Incident,,North America,2014,January,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-113.01125 31.94026),-113.01125,31.94026,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2014,5,
2014.MMP00004,2014.MMP00004,Incident,,North America,2014,January,1,,1,,,1,,Central America,Violence,"near Douglas, Arizona, USA","Ministry of Foreign Affairs Mexico, Pima County Office of the Medical Examiner (PCOME)",POINT (-109.315632 31.506777),-109.315632,31.506777,Northern America,Mexico condemns the use of force by a border patrol agent in the death of a Mexican citizen ,5,http://bit.ly/1qfIw00
2014.MMP00006,2014.MMP00006,Incident,,North America,2014,January,1,,1,,,,,Latin America / Caribbean (P),Violence,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-113.18402 32.45435),-113.18402,32.45435,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2014,5,
2014.MMP00008,2014.MMP00008,Incident,,North America,2014,January,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-113.182833 32.478317),-113.182833,32.478317,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2014,5,
2014.MMP00009,2014.MMP00009,Incident,,North America,2014,January,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.01101 31.81154),-111.01101,31.81154,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2014,5,
2014.MMP00010,2014.MMP00010,Incident,,North America,2014,January,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-112.174583 32.174017),-112.174583,32.174017,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2014,5,
2014.MMP00011,2014.MMP00011,Incident,,North America,2014,January,1,,1,,,1,,Central America,Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-113.02935 32.40291),-113.02935,32.40291,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2014,5,
2014.MMP00012,2014.MMP00012,Incident,,North America,2014,January,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-112.919 32.159),-112.919,32.159,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2015,5,
