"Main ID","Incident ID","Incident Type","Region of Incident","Incident Date","Incident year","Reported Month","Number of Dead","Minimum Estimated Number of Missing","Total Number of Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Region of Origin","Cause of Death","Migration route","Location of death","Information Source",Coordinates,"UNSD Geographical Grouping","Article title","Source Quality",URL
2014.MMP00001,2014.MMP00001,Incident,"North America",2014-01-06,2014,January,1,,1,,,1,,"Central America","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-110.366453 31.650259)","Northern America",,5,http://humaneborders.info/
2014.MMP00002,2014.MMP00002,Incident,"North America",2014-01-12,2014,January,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-111.73756 31.59713)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2014",5,
2014.MMP00003,2014.MMP00003,Incident,"North America",2014-01-14,2014,January,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-113.01125 31.94026)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2014",5,
2014.MMP00004,2014.MMP00004,Incident,"North America",2014-01-16,2014,January,1,,1,,,1,,"Central America",Violence,"US-Mexico border crossing","near Douglas, Arizona, USA","Ministry of Foreign Affairs Mexico, Pima County Office of the Medical Examiner (PCOME)","POINT (-109.315632 31.506777)","Northern America","Mexico condemns the use of force by a border patrol agent in the death of a Mexican citizen ",5,http://bit.ly/1qfIw00
2014.MMP00005,2014.MMP00005,Incident,Europe,2014-01-16,2014,January,1,0,1,2,,1,,"Northern Africa","Harsh environmental conditions / lack of adequate shelter, food, water",,"Border between Russia and Estonia","EUBusiness (Agence France-Presse)","POINT (28 59.1551)","Northern Europe","Sudanese migrant freezes to death in illegal EU-Russia crossing ",1,http://bit.ly/1rTFTjR
2014.MMP00006,2014.MMP00006,Incident,"North America",2014-01-17,2014,January,1,,1,,,,,"Latin America / Caribbean (P)",Violence,"US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-113.18402 32.45435)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2014",5,
2014.MMP00007,2014.MMP00007,Incident,Mediterranean,2014-01-19,2014,January,12,,12,,9,,3,Unknown,Drowning,"Eastern Mediterranean","Waters near Greece while being towed back to Turkey","European Council on Refugees and Exiles","POINT (27 37.2832)",Uncategorized,"12 refugees die during alleged push-back operation off Greek Island",5,http://bit.ly/2aMCwfg
2014.MMP00008,2014.MMP00008,Incident,"North America",2014-01-22,2014,January,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-113.182833 32.478317)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2014",5,
2014.MMP00009,2014.MMP00009,Incident,"North America",2014-01-24,2014,January,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-111.01101 31.81154)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2014",5,
2014.MMP00010,2014.MMP00010,Incident,"North America",2014-01-24,2014,January,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-112.174583 32.174017)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2014",5,
